年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,0,0,35,234,0,131,0,280,0,53,133,317,221,0,0,0,47,0,22,0,32,0,0,0,21,24,19,0,2
1904,0,0,36,201,0,64,0,0,7,21,46,28,0,24,0,5,57,0,105,0,70,0,0,0,0,0,0,4,0
1908,0,0,72,778,0,150,0,64,0,28,87,240,444,42,0,47,84,0,0,0,77,0,0,0,12,0,0,0,0
1912,0,0,163,962,0,201,0,109,0,45,197,379,794,0,0,86,173,32,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,190,849,60,209,0,101,53,101,144,350,838,116,0,70,153,23,0,0,86,0,0,0,17,0,0,0,0
1924,0,0,279,1003,82,263,0,69,107,101,196,424,508,181,0,90,253,38,0,0,0,0,0,0,24,0,0,0,0
1928,0,0,219,992,124,278,0,128,94,112,247,430,0,144,0,74,0,37,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,522,48,195,0,57,29,41,166,192,44,85,0,36,0,25,0,0,0,0,0,0,0,0,0,0,0
1936,199,0,201,1007,173,364,0,172,80,142,348,556,162,179,0,88,0,42,0,0,0,0,0,0,21,0,0,0,0
1948,287,0,218,1051,139,398,0,186,120,156,318,508,216,205,0,84,0,45,0,0,0,0,0,0,0,0,0,0,0
1952,294,0,294,1344,147,483,0,227,142,191,406,509,289,249,0,97,0,99,0,0,0,0,0,0,0,0,0,0,0
1956,169,0,143,1013,169,356,0,154,105,96,258,278,219,161,0,82,0,76,0,0,0,0,0,0,0,0,0,0,0
1960,192,0,235,1312,152,630,0,290,172,150,431,601,389,281,0,96,0,111,0,0,0,0,0,0,0,0,0,0,0
1964,189,72,214,1335,270,736,0,225,149,137,378,481,312,269,0,102,0,70,0,0,0,0,0,0,0,0,0,0,0
1968,191,0,273,1345,250,1231,0,252,160,162,358,490,410,307,0,109,0,93,0,0,0,0,0,0,0,0,0,0,0
1972,190,166,269,1686,208,1263,0,323,188,176,442,499,472,354,0,124,0,116,0,0,95,0,0,0,0,0,0,0,0
1976,213,154,202,1297,217,1076,0,257,173,131,598,485,369,266,0,105,0,89,0,0,64,0,0,0,0,0,0,0,0
1980,215,193,256,1268,239,761,0,156,172,132,488,321,267,271,0,88,0,79,0,0,67,0,0,0,0,0,0,0,0
1984,213,212,246,1674,239,1232,0,300,186,153,465,424,539,354,0,101,0,103,0,0,109,0,0,0,0,0,0,0,0
1988,236,243,270,2062,265,1614,0,375,226,156,624,506,545,432,0,108,202,122,0,0,257,206,0,0,0,0,0,0,0
1992,236,433,272,2054,267,1615,226,441,244,152,661,458,564,336,0,112,250,117,0,0,247,248,160,0,0,0,0,0,0
1996,284,387,388,2386,0,1635,263,458,243,153,621,388,612,355,0,139,246,32,0,120,218,251,160,0,0,0,0,0,0
2000,286,398,391,2468,0,1741,225,402,246,231,561,349,599,307,102,238,248,48,0,120,206,268,192,100,0,0,0,0,0
2004,287,384,425,2175,0,1618,200,401,249,255,559,323,558,280,124,196,252,64,0,118,212,260,191,99,0,0,0,0,0
2008,287,386,469,2244,0,1749,184,400,253,256,563,332,577,283,126,182,254,72,0,120,194,250,191,110,0,0,0,0,0
2012,287,384,467,2278,0,1538,182,379,252,257,550,345,560,283,128,181,286,72,0,0,200,236,0,110,0,0,0,0,0
2016,281,389,473,2508,0,1568,177,380,255,258,550,346,555,283,126,178,286,72,120,0,200,236,0,110,0,0,0,0,0
