年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,0,0,35,76,0,31,0,105,0,32,68,21,49,0,0,0,24,0,6,0,20,0,0,0,17,24,8,0,2
1904,0,0,36,79,0,39,0,0,6,21,45,18,0,18,0,3,12,0,34,0,28,0,0,0,0,0,0,3,0
1908,0,0,36,101,0,27,0,48,0,21,64,41,114,15,0,7,24,0,0,0,9,0,0,0,12,0,0,0,0
1912,0,0,44,143,0,45,0,73,0,23,66,47,144,0,0,12,36,3,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,46,133,27,49,0,96,15,25,60,72,198,24,0,15,24,3,0,0,80,0,0,0,13,0,0,0,0
1924,0,0,47,129,28,55,0,27,15,27,77,72,75,24,0,15,24,3,0,0,0,0,0,0,13,0,0,0,0
1928,0,0,50,108,36,56,0,34,15,24,78,65,0,24,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,114,38,51,0,40,15,25,78,65,6,24,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0
1936,34,0,41,114,36,55,0,42,15,31,78,66,9,24,0,12,0,3,0,0,0,0,0,0,12,0,0,0,0
1948,38,0,40,126,46,56,0,39,18,29,78,66,12,24,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0
1952,40,0,38,126,48,56,0,44,21,33,78,66,21,40,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
1956,36,0,46,128,51,67,0,34,21,29,78,64,21,40,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
1960,36,0,44,129,51,105,0,34,21,37,78,76,18,40,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
1964,36,16,50,135,51,121,0,33,21,34,79,71,18,40,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
1968,36,0,51,135,54,155,0,33,21,33,79,72,21,44,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
1972,36,23,70,150,55,160,0,40,27,33,78,71,24,44,0,12,0,12,0,0,6,0,0,0,0,0,0,0,0
1976,72,24,49,147,55,133,0,36,27,32,163,72,21,44,0,12,0,12,0,0,6,0,0,0,0,0,0,0,0
1980,72,32,50,153,59,131,0,36,30,33,165,71,21,44,0,12,0,12,0,0,6,0,0,0,0,0,0,0,0
1984,71,32,49,169,60,152,0,39,30,38,162,72,33,48,0,12,0,12,0,0,6,0,0,0,0,0,0,0,0
1988,72,28,52,175,65,167,0,45,30,39,166,72,39,48,0,12,24,12,0,0,24,18,0,0,0,0,0,0,0
1992,71,56,53,178,66,169,24,51,29,37,156,72,39,48,0,12,24,12,0,0,24,24,60,0,0,0,0,0,0
1996,71,56,97,180,0,181,24,48,30,37,144,61,45,48,0,12,18,3,0,45,24,18,60,0,0,0,0,0,0
2000,71,56,99,190,0,185,24,54,45,77,144,66,51,48,24,36,18,6,0,45,24,18,72,6,0,0,0,0,0
2004,72,56,101,180,0,185,24,54,45,76,144,61,51,44,24,36,18,6,0,44,24,18,72,6,0,0,0,0,0
2008,72,56,102,187,0,200,24,54,45,77,144,62,45,44,32,36,18,6,0,45,24,24,72,6,0,0,0,0,0
2012,72,56,105,190,0,195,24,48,45,76,144,66,45,52,32,36,24,6,0,0,24,24,0,6,0,0,0,0,0
2016,72,56,106,192,0,191,24,45,45,78,144,65,45,51,32,36,24,6,6,0,24,24,0,6,0,0,0,0,0
