年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,0.0,0.0,0.3142857142857143,0.3552631578947368,0.0,0.3225806451612903,0.0,0.2761904761904762,0.0,0.21875,0.3382352941176471,0.3333333333333333,0.3265306122448979,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.0,0.35,0.0,0.0,0.0,0.2941176470588235,0.5,0.5,0.0,1.0
1904,0.0,0.0,0.3611111111111111,0.3544303797468354,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3888888888888889,0.0,0.3888888888888889,0.0,0.3333333333333333,0.25,0.0,0.3235294117647059,0.0,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
1908,0.0,0.0,0.3055555555555556,0.3366336633663367,0.0,0.3333333333333333,0.0,0.4583333333333333,0.0,0.3333333333333333,0.25,0.3414634146341464,0.3421052631578947,0.3333333333333333,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
1912,0.0,0.0,0.3181818181818182,0.3706293706293706,0.0,0.3333333333333333,0.0,0.3561643835616438,0.0,0.3043478260869565,0.303030303030303,0.3617021276595745,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,0.0,0.0,0.3043478260869565,0.3308270676691729,0.2962962962962963,0.3265306122448979,0.0,0.6666666666666666,0.3333333333333333,0.28,0.3333333333333333,0.3888888888888889,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5125,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0
1924,0.0,0.0,0.2978723404255319,0.3333333333333333,0.3214285714285715,0.3272727272727273,0.0,0.3333333333333333,0.3333333333333333,0.2592592592592592,0.3506493506493507,0.375,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3846153846153846,0.0,0.0,0.0,0.0
1928,0.0,0.0,0.34,0.3333333333333333,0.3333333333333333,0.375,0.0,0.3235294117647059,0.4,0.3333333333333333,0.3333333333333333,0.3384615384615385,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1932,0.0,0.0,0.0,0.3333333333333333,0.3684210526315789,0.3333333333333333,0.0,0.475,0.3333333333333333,0.4,0.3333333333333333,0.3384615384615385,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1936,0.4117647058823529,0.0,0.3414634146341464,0.3333333333333333,0.3333333333333333,0.3090909090909091,0.0,0.3333333333333333,0.4,0.3548387096774194,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
1948,0.3684210526315789,0.0,0.3,0.3333333333333333,0.2608695652173913,0.375,0.0,0.3333333333333333,0.3333333333333333,0.3103448275862069,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,0.35,0.0,0.3947368421052632,0.3333333333333333,0.3333333333333333,0.3928571428571428,0.0,0.3636363636363636,0.3333333333333333,0.3939393939393939,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,0.3333333333333333,0.0,0.391304347826087,0.328125,0.3333333333333333,0.3582089552238806,0.0,0.3235294117647059,0.3333333333333333,0.3793103448275862,0.3333333333333333,0.34375,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.3333333333333333,0.0,0.3636363636363636,0.3333333333333333,0.3333333333333333,0.3809523809523809,0.0,0.3235294117647059,0.3333333333333333,0.3243243243243243,0.3333333333333333,0.3552631578947368,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,0.3333333333333333,0.25,0.28,0.3333333333333333,0.3333333333333333,0.4132231404958678,0.0,0.3333333333333333,0.3333333333333333,0.3529411764705883,0.3291139240506329,0.3380281690140845,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3870967741935484,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3417721518987342,0.3333333333333333,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,0.3333333333333333,0.2608695652173913,0.2428571428571429,0.3333333333333333,0.3636363636363636,0.375,0.0,0.325,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3380281690140845,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.3333333333333333,0.25,0.3469387755102041,0.3333333333333333,0.3272727272727273,0.3609022556390977,0.0,0.3333333333333333,0.3333333333333333,0.34375,0.3374233128834356,0.3333333333333333,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.3333333333333333,0.25,0.32,0.3464052287581699,0.3220338983050847,0.3358778625954199,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3380281690140845,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.3380281690140845,0.25,0.3265306122448979,0.3372781065088757,0.3333333333333333,0.3881578947368421,0.0,0.3333333333333333,0.3333333333333333,0.3421052631578947,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
