年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,0.0,0.0,0.3714285714285714,0.3552631578947368,0.0,0.3548387096774194,0.0,0.4190476190476191,0.0,0.3125,0.3088235294117647,0.3333333333333333,0.3469387755102041,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.0,0.4,0.0,0.0,0.0,0.2352941176470588,0.5,0.25,0.0,0.0
1904,0.0,0.0,0.3055555555555556,0.3544303797468354,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3888888888888889,0.0,0.3888888888888889,0.0,0.3333333333333333,0.25,0.0,0.3235294117647059,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
1908,0.0,0.0,0.3611111111111111,0.3366336633663367,0.0,0.3333333333333333,0.0,0.375,0.0,0.3333333333333333,0.25,0.3170731707317073,0.3421052631578947,0.3333333333333333,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
1912,0.0,0.0,0.3409090909090909,0.3356643356643357,0.0,0.3333333333333333,0.0,0.3424657534246575,0.0,0.3043478260869565,0.303030303030303,0.3404255319148936,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,0.0,0.0,0.391304347826087,0.3383458646616541,0.4074074074074074,0.3469387755102041,0.0,0.25,0.3333333333333333,0.32,0.3333333333333333,0.3055555555555556,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3625,0.0,0.0,0.0,0.3846153846153846,0.0,0.0,0.0,0.0
1924,0.0,0.0,0.3191489361702128,0.3333333333333333,0.3214285714285715,0.3272727272727273,0.0,0.3333333333333333,0.3333333333333333,0.4074074074074074,0.3376623376623377,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0
1928,0.0,0.0,0.32,0.3333333333333333,0.3333333333333333,0.3214285714285715,0.0,0.3235294117647059,0.2666666666666667,0.2916666666666667,0.3333333333333333,0.3384615384615385,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1932,0.0,0.0,0.0,0.3333333333333333,0.3684210526315789,0.3333333333333333,0.0,0.35,0.3333333333333333,0.32,0.3333333333333333,0.3230769230769231,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1936,0.2647058823529412,0.0,0.3170731707317073,0.3333333333333333,0.3611111111111111,0.3636363636363636,0.0,0.3333333333333333,0.2666666666666667,0.3548387096774194,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
1948,0.3684210526315789,0.0,0.375,0.3333333333333333,0.3695652173913043,0.3214285714285715,0.0,0.3333333333333333,0.3333333333333333,0.3793103448275862,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,0.35,0.0,0.2894736842105263,0.3333333333333333,0.3125,0.3035714285714285,0.0,0.3181818181818182,0.3333333333333333,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,0.3333333333333333,0.0,0.3043478260869565,0.34375,0.3333333333333333,0.3582089552238806,0.0,0.3529411764705883,0.3333333333333333,0.2758620689655172,0.3333333333333333,0.34375,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.3333333333333333,0.0,0.2727272727272727,0.3410852713178295,0.3333333333333333,0.3238095238095238,0.0,0.3235294117647059,0.3333333333333333,0.2972972972972973,0.3333333333333333,0.3421052631578947,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,0.3333333333333333,0.25,0.34,0.3333333333333333,0.3333333333333333,0.2892561983471074,0.0,0.3333333333333333,0.3333333333333333,0.3235294117647059,0.3291139240506329,0.3380281690140845,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.3333333333333333,0.0,0.3529411764705883,0.3333333333333333,0.3333333333333333,0.3032258064516129,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3291139240506329,0.3333333333333333,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
