年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,0.0,0.0,0.3142857142857143,0.2894736842105263,0.0,0.3225806451612903,0.0,0.3047619047619048,0.0,0.46875,0.3529411764705883,0.3333333333333333,0.3265306122448979,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.25,0.0,0.0,0.0,0.4705882352941176,0.0,0.25,0.0,0.0
1904,0.0,0.0,0.3333333333333333,0.2911392405063291,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2,0.2222222222222222,0.0,0.2222222222222222,0.0,0.3333333333333333,0.5,0.0,0.3529411764705883,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
1908,0.0,0.0,0.3333333333333333,0.3267326732673267,0.0,0.3333333333333333,0.0,0.1666666666666667,0.0,0.3333333333333333,0.5,0.3414634146341464,0.3157894736842105,0.3333333333333333,0.0,0.4285714285714285,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,0.0,0.0,0.3409090909090909,0.2937062937062937,0.0,0.3333333333333333,0.0,0.3013698630136986,0.0,0.391304347826087,0.3939393939393939,0.2978723404255319,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,0.0,0.0,0.3043478260869565,0.3308270676691729,0.2962962962962963,0.3265306122448979,0.0,0.0833333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3055555555555556,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.125,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0
1924,0.0,0.0,0.3829787234042553,0.3333333333333333,0.3571428571428572,0.3454545454545455,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3116883116883117,0.2916666666666667,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0
1928,0.0,0.0,0.34,0.3333333333333333,0.3333333333333333,0.3035714285714285,0.0,0.3529411764705883,0.3333333333333333,0.375,0.3333333333333333,0.3230769230769231,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1932,0.0,0.0,0.0,0.3333333333333333,0.2631578947368421,0.3333333333333333,0.0,0.175,0.3333333333333333,0.28,0.3333333333333333,0.3384615384615385,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1936,0.3235294117647059,0.0,0.3414634146341464,0.3333333333333333,0.3055555555555556,0.3272727272727273,0.0,0.3333333333333333,0.3333333333333333,0.2903225806451613,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
1948,0.2631578947368421,0.0,0.325,0.3333333333333333,0.3695652173913043,0.3035714285714285,0.0,0.3333333333333333,0.3333333333333333,0.3103448275862069,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,0.3,0.0,0.3157894736842105,0.3333333333333333,0.3541666666666667,0.3035714285714285,0.0,0.3181818181818182,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,0.3333333333333333,0.0,0.3043478260869565,0.328125,0.3333333333333333,0.2835820895522388,0.0,0.3235294117647059,0.3333333333333333,0.3448275862068966,0.3333333333333333,0.3125,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.3333333333333333,0.0,0.3636363636363636,0.3255813953488372,0.3333333333333333,0.2952380952380952,0.0,0.3529411764705883,0.3333333333333333,0.3783783783783784,0.3333333333333333,0.3026315789473684,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,0.3333333333333333,0.5,0.38,0.3333333333333333,0.3333333333333333,0.2975206611570248,0.0,0.3333333333333333,0.3333333333333333,0.3235294117647059,0.3417721518987342,0.323943661971831,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.3333333333333333,0.0,0.3137254901960784,0.3333333333333333,0.3333333333333333,0.3096774193548387,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3291139240506329,0.3333333333333333,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,0.3333333333333333,0.5217391304347826,0.5142857142857142,0.3333333333333333,0.3272727272727273,0.31875,0.0,0.325,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.323943661971831,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.3333333333333333,0.5,0.3061224489795918,0.3333333333333333,0.3272727272727273,0.3157894736842105,0.0,0.3333333333333333,0.3333333333333333,0.3125,0.3312883435582822,0.3333333333333333,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.3333333333333333,0.5,0.34,0.3202614379084967,0.3389830508474576,0.3206106870229007,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.323943661971831,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.3380281690140845,0.5,0.3469387755102041,0.3372781065088757,0.3333333333333333,0.3157894736842105,0.0,0.3333333333333333,0.3333333333333333,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.3333333333333333,0.5,0.3461538461538461,0.3314285714285714,0.3384615384615385,0.3413173652694611,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3373493975903614,0.3333333333333333,0.3333333333333333,0.5,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.3380281690140845,0.5,0.3773584905660378,0.3314606741573033,0.3333333333333333,0.3195266272189349,0.5,0.3333333333333333,0.3103448275862069,0.3513513513513514,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.323943661971831,0.5,0.3402061855670103,0.3333333333333333,0.0,0.3093922651933702,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3513513513513514,0.3333333333333333,0.3278688524590164,0.3333333333333333,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.3380281690140845,0.5,0.3434343434343434,0.3263157894736842,0.0,0.3027027027027027,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3376623376623377,0.3333333333333333,0.3181818181818182,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
2004,0.3333333333333333,0.5,0.3366336633663367,0.3222222222222222,0.0,0.3189189189189189,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3289473684210527,0.3333333333333333,0.3442622950819672,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3181818181818182,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
