年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255319149,0.0,0.454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315789474,0.0,0.0
1904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,0.0,0.0,0.324675325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,0.0,0.0,0.0,0.0,0.0,0.213930348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162790698,0.173410405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,0.0,0.0,0.0,0.0,0.0,0.224880383,0.0,0.00990099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271428571,0.339869281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1924,0.0,0.0,0.0,0.0,0.0,0.315589354,0.0,0.014492754,0.0,0.0,0.0,0.058962264,0.0,0.0,0.0,0.311111111,0.292490119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1928,0.0,0.0,0.0,0.130040323,0.0,0.388489209,0.0,0.015625,0.0,0.0,0.0,0.062790698,0.0,0.0,0.0,0.364864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1932,0.0,0.0,0.0,0.153256705,0.0,0.394871795,0.0,0.0,0.0,0.0,0.0,0.088541667,0.0,0.0,0.0,0.416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1936,0.0,0.0,0.0,0.13306852,0.0,0.370879121,0.0,0.01744186,0.0,0.0,0.0,0.073741007,0.0,0.0,0.0,0.431818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1948,0.0,0.0,0.0,0.224548049,0.0,0.364321608,0.0,0.0,0.0,0.0,0.0,0.076771654,0.0,0.0,0.0,0.380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,0.0,0.0,0.0,0.223214286,0.0,0.376811594,0.0,0.013215859,0.0,0.0,0.0,0.072691552,0.0,0.0,0.0,0.309278351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,0.0,0.0,0.0,0.213228036,0.0,0.435393258,0.0,0.0,0.0,0.0,0.0,0.082733813,0.0,0.0,0.0,0.43902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.0,0.0,0.0,0.205792683,0.0,0.395238095,0.0,0.003448276,0.0,0.0,0.0,0.188019967,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,0.0,0.0,0.0,0.256928839,0.0,0.373641304,0.0,0.004444444,0.0,0.0,0.0,0.178794179,0.0,0.0,0.0,0.441176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.263197026,0.0,0.434606011,0.0,0.0,0.0,0.0,0.0,0.179591837,0.007317073,0.0,0.0,0.422018349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,0.0,0.0,0.0,0.300118624,0.0,0.456057007,0.0,0.0,0.0,0.0,0.0,0.194388778,0.008474576,0.0,0.0,0.459677419,0.0,0.0,0.0,0.0,0.421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.338028169,0.0,0.0,0.3230532,0.0,0.469330855,0.0,0.003891051,0.0,0.0,0.351170569,0.224742268,0.024390244,0.0,0.0,0.495238095,0.0,0.0,0.0,0.0,0.421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.334883721,0.0,0.0,0.294952681,0.0,0.427069645,0.0,0.006410256,0.0,0.0,0.325819672,0.242990654,0.02247191,0.0,0.0,0.465909091,0.0,0.0,0.0,0.0,0.432835821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.333333333,0.0,0.0,0.302867384,0.0,0.37012987,0.0,0.006666667,0.0,0.0,0.384946237,0.212264151,0.170686456,0.0,0.0,0.445544554,0.0,0.0,0.0,0.0,0.431192661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.394067797,0.0,0.0,0.357904947,0.0,0.401486989,0.0,0.117333333,0.0,0.0,0.344551282,0.207509881,0.300917431,0.0,0.0,0.435185185,0.376237624,0.0,0.0,0.0,0.416342412,0.378640777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.398305085,0.376443418,0.0,0.369522882,0.0,0.407430341,0.486725664,0.19047619,0.0,0.0,0.319213313,0.231441048,0.317375887,0.0,0.0,0.508928571,0.504,0.0,0.0,0.0,0.453441296,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.503521127,0.390180879,0.319587629,0.375523889,0.0,0.486238532,0.505703422,0.218340611,0.0,0.0,0.347826087,0.396907216,0.303921569,0.0,0.0,0.45323741,0.487804878,0.0,0.0,1.0,0.5,0.498007968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.496503497,0.404522613,0.31713555,0.417747164,0.0,0.432510052,0.528888889,0.236318408,0.345528455,0.337662338,0.345811052,0.383954155,0.375626043,0.0,0.470588235,0.483193277,0.508064516,0.5,0.0,1.0,0.485436893,0.492537313,0.0,0.48,0.0,0.0,0.0,0.0,0.0
