年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0.0211864406779661,0.0115473441108545,0.0183823529411765,0.0024342745861733,0.0187265917602996,0.0030959752321981,0.0221238938053097,0.0113378684807256,0.0204918032786885,0.0328947368421053,0.0075642965204236,0.0109170305676856,0.0088652482269503,0.0148809523809524,0.0,0.0446428571428571,0.02,0.0427350427350427,0.0,0.0,0.0202429149797571,0.0201612903225806,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0211267605633803,0.0155038759689922,0.0154639175257732,0.0025146689019279,0.0,0.0036697247706422,0.0228136882129278,0.0131004366812227,0.0246913580246914,0.0392156862745098,0.0096618357487922,0.0154639175257732,0.0098039215686274,0.0169014084507042,0.0,0.0431654676258993,0.024390243902439,0.1875,0.0,0.05,0.0275229357798165,0.0239043824701195,0.0375,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.020979020979021,0.0150753768844221,0.0153452685421995,0.0024311183144246,0.0,0.0034462952326249,0.0266666666666667,0.0149253731343284,0.024390243902439,0.025974025974026,0.0106951871657754,0.0171919770773639,0.010016694490818,0.0195439739413681,0.0588235294117647,0.0252100840336134,0.0241935483870968,0.125,0.0,0.05,0.029126213592233,0.0223880597014925,0.03125,0.06,0.0,0.0,0.0,0.0,0.0
2004,0.0174216027874564,0.0130208333333333,0.0117647058823529,0.0022988505747126,0.0,0.0030902348578492,0.025,0.0124688279301746,0.0200803212851406,0.0196078431372549,0.0089445438282647,0.0154798761609907,0.0089605734767025,0.0178571428571429,0.0403225806451613,0.0255102040816327,0.0198412698412698,0.078125,0.0,0.0423728813559322,0.0235849056603774,0.0192307692307692,0.0261780104712042,0.0505050505050505,0.0,0.0,0.0,0.0,0.0
2008,0.0174216027874564,0.0129533678756477,0.0106609808102345,0.0022281639928698,0.0,0.0028587764436821,0.0271739130434783,0.0125,0.0197628458498024,0.01953125,0.0088809946714032,0.0150602409638554,0.0086655112651646,0.0176678445229682,0.0396825396825397,0.0274725274725275,0.0196850393700787,0.0694444444444444,0.0,0.0416666666666667,0.0257731958762887,0.02,0.0261780104712042,0.0454545454545455,0.0,0.0,0.0,0.0,0.0
2012,0.0209059233449477,0.015625,0.012847965738758,0.0026338893766461,0.0,0.0039011703511053,0.032967032967033,0.0158311345646438,0.0238095238095238,0.0233463035019455,0.0109090909090909,0.0173913043478261,0.0107142857142857,0.0212014134275618,0.046875,0.0331491712707182,0.020979020979021,0.0833333333333333,0.0,0.0,0.03,0.0254237288135593,0.0,0.0545454545454545,0.0,0.0,0.0,0.0,0.0
