年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0.0127118644067797,0.0069284064665127,0.0110294117647059,0.0014605647517039,0.0112359550561798,0.0018575851393188,0.0132743362831858,0.0068027210884353,0.0122950819672131,0.0197368421052632,0.0045385779122541,0.0065502183406113,0.0053191489361702,0.0089285714285714,0.0,0.0267857142857143,0.012,0.0256410256410256,0.0,0.0,0.0121457489878542,0.0120967741935484,0.01875,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0292253521126761,0.0214470284237726,0.0213917525773196,0.0034786253143336,0.0,0.0050764525993883,0.0315589353612167,0.0181222707423581,0.0341563786008231,0.0542483660130719,0.013365539452496,0.0213917525773196,0.013562091503268,0.0233802816901409,0.0,0.0597122302158273,0.033739837398374,0.259375,0.0,0.0691666666666667,0.0380733944954129,0.0330677290836653,0.051875,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0234265734265734,0.0168341708542714,0.0171355498721228,0.0027147487844408,0.0,0.0038483630097645,0.0297777777777778,0.0166666666666667,0.0272357723577236,0.029004329004329,0.0119429590017825,0.0191977077363897,0.0111853088480801,0.0218241042345277,0.0656862745098039,0.0281512605042017,0.0270161290322581,0.139583333333333,0.0,0.0558333333333333,0.0325242718446602,0.025,0.0348958333333333,0.067,0.0,0.0,0.0,0.0,0.0
2004,0.0132404181184669,0.0098958333333333,0.0089411764705882,0.0017471264367816,0.0,0.0023485784919653,0.019,0.0094763092269326,0.0152610441767068,0.0149019607843137,0.0067978533094812,0.0117647058823529,0.0068100358422939,0.0135714285714286,0.0306451612903226,0.0193877551020408,0.0150793650793651,0.059375,0.0,0.0322033898305085,0.0179245283018868,0.0146153846153846,0.0198952879581152,0.0383838383838384,0.0,0.0,0.0,0.0,0.0
2008,0.0226480836236934,0.016839378238342,0.0138592750533049,0.0028966131907308,0.0,0.0037164093767867,0.0353260869565217,0.01625,0.0256916996047431,0.025390625,0.0115452930728242,0.019578313253012,0.011265164644714,0.0229681978798587,0.0515873015873016,0.0357142857142857,0.0255905511811024,0.0902777777777778,0.0,0.0541666666666667,0.0335051546391753,0.026,0.0340314136125655,0.0590909090909091,0.0,0.0,0.0,0.0,0.0
2012,0.0285714285714286,0.0213541666666667,0.017558886509636,0.0035996488147497,0.0,0.0053315994798439,0.045054945054945,0.0216358839050132,0.0325396825396825,0.0319066147859922,0.0149090909090909,0.023768115942029,0.0146428571428571,0.0289752650176678,0.0640625,0.0453038674033149,0.0286713286713287,0.113888888888889,0.0,0.0,0.041,0.0347457627118644,0.0,0.0745454545454545,0.0,0.0,0.0,0.0,0.0
