年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,547.39406779661,298.348729792148,474.944852941177,62.8943524829601,483.838951310861,79.9907120743034,571.615044247788,292.936507936508,529.446721311475,849.901315789474,195.438729198185,282.063318777293,229.051418439716,384.479166666667,0.0,1153.4375,516.74,1104.1452991453,0.0,0.0,523.016194331984,520.907258064516,807.40625,0.0,0.0,0.0,0.0,0.0,0.0
1996,796.485915492958,584.501291989664,582.994845360825,94.8038558256496,0.0,138.349847094801,860.083650190114,493.890829694323,930.872427983539,1478.44444444444,364.254428341385,582.994845360825,369.611111111111,637.188732394366,0.0,1627.35251798561,919.520325203252,7068.8125,0.0,1885.01666666667,1037.62385321101,901.203187250996,1413.7625,0.0,0.0,0.0,0.0,0.0,0.0
2000,862.681818181818,619.917085427136,631.015345268542,99.9704213938412,0.0,141.715680643308,1096.56444444444,613.748756218905,1002.95528455285,1068.08225108225,439.798573975045,706.954154727794,411.89816360601,803.671009771987,2418.89215686275,1036.66806722689,994.866935483871,5140.14583333333,0.0,2056.05833333333,1197.70388349515,920.623134328358,1285.03645833333,2467.27,0.0,0.0,0.0,0.0,0.0
2004,888.501742160279,664.0625,600.0,117.241379310345,0.0,157.601977750309,1275.0,635.910224438903,1024.09638554217,1000.0,456.171735241503,789.473684210526,456.989247311828,910.714285714286,2056.45161290323,1301.02040816327,1011.90476190476,3984.375,0.0,2161.01694915254,1202.83018867925,980.769230769231,1335.07853403141,2575.75757575758,0.0,0.0,0.0,0.0,0.0
2008,1215.03135888502,903.40414507772,743.526652452026,155.398395721925,0.0,199.379073756432,1895.1847826087,871.785,1378.3162055336,1362.1640625,619.385435168739,1050.34337349398,604.357019064125,1232.20494699647,2767.57142857143,1916.01098901099,1372.88976377953,4843.25,0.0,2905.95,1797.49484536082,1394.856,1825.7277486911,3170.12727272727,0.0,0.0,0.0,0.0,0.0
2012,1003.31358885017,749.872395833333,616.597430406852,126.405179982441,0.0,187.224317295189,1582.14835164835,759.765171503958,1142.6626984127,1120.43190661479,523.547272727273,834.640579710145,514.198214285714,1017.49469964664,2249.6171875,1590.88950276243,1006.82167832168,3999.31944444444,0.0,0.0,1439.755,1220.1313559322,0.0,2617.73636363636,0.0,0.0,0.0,0.0,0.0
2016,1067.61565836299,771.20822622108,634.249471458774,119.617224880383,0.0,191.326530612245,1694.91525423729,789.473684210526,1176.47058823529,1162.79069767442,545.454545454545,867.052023121387,540.540540540541,1060.07067137809,2380.95238095238,1685.39325842697,1048.95104895105,4166.66666666667,2500.0,0.0,1500.0,1271.18644067797,0.0,2727.27272727273,0.0,0.0,0.0,0.0,0.0
