年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,0,0,3,19,0,16,0,104,0,7,21,19,8,0,0,0,14,0,4,0,3,0,0,0,5,2,1,0,1
1904,0,0,3,13,0,9,0,0,3,3,11,4,0,1,0,2,17,0,6,0,5,0,0,0,0,0,0,1,0
1908,0,0,6,20,0,14,0,13,0,4,19,14,16,4,0,9,16,0,0,0,3,0,0,0,3,0,0,0,0
1912,0,0,11,27,0,17,0,20,0,6,36,16,16,0,0,10,36,10,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,14,25,7,19,0,24,14,12,14,13,18,12,0,14,33,8,0,0,3,0,0,0,4,0,0,0,0
1924,0,0,22,40,8,23,0,31,16,13,14,23,27,27,0,14,58,11,0,0,0,0,0,0,5,0,0,0,0
1928,0,0,17,40,11,28,0,41,19,14,19,27,0,29,0,17,0,14,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,34,4,20,0,23,8,5,13,16,10,18,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0
1936,21,0,16,43,15,29,0,59,15,16,24,29,29,31,0,21,0,16,0,0,0,0,0,0,5,0,0,0,0
1948,23,0,18,53,9,34,0,73,30,18,27,30,28,39,0,22,0,16,0,0,0,0,0,0,0,0,0,0,0
1952,23,0,25,57,9,48,0,92,41,21,33,32,41,43,0,22,0,19,0,0,0,0,0,0,0,0,0,0,0
1956,15,0,11,59,10,33,0,71,34,10,25,23,37,34,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0
1960,16,0,16,72,9,45,0,137,53,16,33,42,59,54,0,25,0,23,0,0,0,0,0,0,0,0,0,0,0
1964,16,27,14,80,16,42,0,108,42,13,27,30,51,56,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0
1968,16,0,16,92,14,51,0,41,55,15,29,34,62,65,0,21,0,18,0,0,0,0,0,0,0,0,0,0,0
1972,16,46,16,104,11,52,0,42,54,16,35,37,71,80,0,25,0,20,0,0,27,0,0,0,0,0,0,0,0
1976,13,46,13,79,12,51,0,40,46,12,31,34,60,54,0,22,0,17,0,0,24,0,0,0,0,0,0,0,0
1980,14,42,16,70,12,41,0,23,39,12,25,20,38,51,0,21,0,17,0,0,25,0,0,0,0,0,0,0,0
1984,13,61,16,124,12,67,0,60,48,12,30,38,68,81,0,29,0,18,0,0,35,0,0,0,0,0,0,0,0
1988,14,69,16,148,12,77,0,60,62,12,38,42,66,106,0,31,38,26,0,0,41,59,0,0,0,0,0,0,0
1992,15,92,16,156,12,92,59,68,69,12,45,42,83,78,0,31,48,30,0,0,44,66,8,0,0,0,0,0,0
1996,19,92,21,190,0,117,61,78,77,12,45,46,100,97,0,39,55,22,0,8,41,71,8,0,0,0,0,0,0
2000,18,90,20,193,0,150,48,69,76,13,51,40,103,75,50,42,52,24,0,8,46,70,8,34,0,0,0,0,0
2004,18,94,22,196,0,152,50,61,79,13,55,42,106,72,60,30,79,26,0,8,43,70,8,33,0,0,0,0,0
2008,19,92,21,200,0,163,65,62,84,14,60,45,103,77,62,29,74,27,0,8,49,56,8,37,0,0,0,0,0
2012,17,132,24,201,0,167,59,63,84,14,58,44,108,77,63,25,72,26,0,0,55,57,0,39,0,0,0,0,0
2016,17,136,23,200,0,173,52,66,92,14,69,47,97,76,62,29,82,28,41,0,56,56,0,42,0,0,0,0,0
