年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,0.0,0.0,0.457142857142857,0.91025641025641,0.0,0.50381679389313,0.0,0.367857142857143,0.0,0.490566037735849,0.736842105263158,0.381703470031546,0.6289592760181,0.0,0.0,0.0,0.723404255319149,0.0,0.590909090909091,0.0,0.5625,0.0,0.0,0.0,0.761904761904762,0.708333333333333,0.578947368421053,0.0,1.0
1904,0.0,0.0,0.888888888888889,0.885572139303483,0.0,0.9375,0.0,0.0,0.571428571428571,0.857142857142857,0.869565217391304,0.785714285714286,0.0,0.75,0.0,0.6,0.807017543859649,0.0,0.819047619047619,0.0,0.185714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
1908,0.0,0.0,0.875,0.911311053984576,0.0,0.853333333333333,0.0,0.625,0.0,0.928571428571429,0.850574712643678,0.704166666666667,0.56981981981982,0.476190476190476,0.0,0.659574468085106,0.880952380952381,0.0,0.0,0.0,0.25974025974026,0.0,0.0,0.0,0.833333333333333,0.0,0.0,0.0,0.0
1912,0.0,0.0,0.969325153374233,0.984407484407484,0.0,0.985074626865672,0.0,0.724770642201835,0.0,1.0,0.989847715736041,0.733509234828496,0.709068010075567,0.0,0.0,0.965116279069767,0.971098265895954,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,0.0,0.0,0.884210526315789,0.862190812720848,0.883333333333333,0.779904306220096,0.0,0.702970297029703,0.622641509433962,0.653465346534653,0.715277777777778,0.737142857142857,0.497613365155131,0.706896551724138,0.0,0.9,0.790849673202614,0.869565217391304,0.0,0.0,0.22093023255814,0.0,0.0,0.0,0.705882352941177,0.0,0.0,0.0,0.0
1924,0.0,0.0,0.874551971326165,0.861415752741775,0.951219512195122,0.836501901140684,0.0,0.521739130434783,0.579439252336449,0.712871287128713,0.73469387755102,0.625,0.470472440944882,0.883977900552486,0.0,0.722222222222222,0.810276679841897,0.763157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.708333333333333,0.0,0.0,0.0,0.0
1928,0.0,0.0,0.876712328767123,0.890120967741935,0.838709677419355,0.827338129496403,0.0,0.6640625,0.670212765957447,0.75,0.712550607287449,0.644186046511628,0.0,0.75,0.0,0.77027027027027,0.0,0.810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1932,0.0,0.0,0.0,0.911877394636015,1.0,0.871794871794872,0.0,0.719298245614035,0.931034482758621,0.780487804878049,0.855421686746988,0.875,0.545454545454545,0.823529411764706,0.0,0.75,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1936,0.974874371859296,0.0,1.0,0.985104270109235,0.994219653179191,0.947802197802198,0.0,0.843023255813954,0.975,1.0,0.988505747126437,0.886690647482014,0.722222222222222,1.0,0.0,0.965909090909091,0.0,0.976190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.80952380952381,0.0,0.0,0.0,0.0
1948,0.634146341463415,0.0,0.706422018348624,0.907706945765937,1.0,0.844221105527638,0.0,0.698924731182796,0.7,0.711538461538462,0.767295597484277,0.681102362204724,0.458333333333333,0.741463414634146,0.0,0.857142857142857,0.0,0.755555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
