年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,,,18.6958333333333,12.9721600631828,,28.1167832167832,,143.930604041045,,29.4415384615385,15.5969913738692,53.8603972618112,52.6526897244367,,,,51.6898395721925,,49.8455882352941,,55.5584615384616,,,,38.1637426900585,39.5294117647059,194.92380952381,,0.0
1904,,,25.2862903225806,18.0317717260205,,26.4361581920904,,,5.33333333333333,10.3529411764706,27.025641025641,75.8566666666667,,20.6143790849673,,36.3333333333333,16.9106280193237,,86.116242373238,,203.315846994535,,,,,,,206.333333333333,
1908,,,10.2416794674859,14.2065453850015,,21.4706879844961,,77.7488215488216,,15.1015384615385,24.570350877193,44.7260953430697,89.7047358864586,21.8842105263158,,30.8365591397849,54.0464798359535,,,,104.451530612245,,,,23.8181818181818,,,,
1912,,,9.55962267193421,13.2035831632676,,15.9022970825001,,84.7237534188933,,19.2727272727273,21.9186551543694,53.0436750911933,81.0061306950448,,,46.4193277310925,31.8089797015728,32.5139784946237,,,,,,,,,,,
1920,,,11.6877316794981,19.0012048416097,27.8647798742138,24.8438233734757,,77.0685197895218,12.7348484848485,34.5698778833107,33.4539768483943,52.9831137848771,59.8041085977075,14.9503161698284,,26.4516129032258,37.428533962759,30.4904761904762,,,78.4738775510204,,,,52.4291666666667,,,,
1924,,,12.1921844430952,18.3914672698174,29.8629703629704,14.6217310087173,,118.426705370102,24.0454785827604,33.6883561643836,26.4982758620689,60.7468863205106,71.0354579261438,10.7704009433962,,23.0158653846154,38.5094993637839,14.4334975369458,,,,,,,60.0276679841897,,,,
1928,,,12.7290303228621,16.2036889332004,36.3389038634321,14.1461173343459,,94.5141950273321,26.6395289298515,22.0764705882353,21.0710708782742,72.4781797674822,,9.76635514018692,,19.000626566416,,9.20574712643678,,,,,,,,,,,
1932,,,,17.3248049894742,12.7123226950355,13.2586494953011,,117.052249637155,26.5242165242165,19.8064516129032,17.0170454545455,47.7889927751806,72.894623655914,6.34037267080745,,6.19088319088319,,15.1619047619048,,,,,,,,,,,
1936,9.86851663906844,,9.8794527363184,14.7868489892021,16.8923914504638,11.0464779238288,,72.7771997824018,18.2886075949367,17.5449006093297,18.3081058308055,38.9785381800092,66.4722858840506,7.39765237587094,,16.7613445378151,,10.6219512195122,,,,,,,41.947619047619,,,,
1948,14.0303563839475,,11.8562091503268,24.4220406670978,22.2179126264206,14.2165955934613,,84.2025621118012,24.218487394958,23.8447174447174,29.6378313961082,48.6115100706527,58.0802117561154,17.4840972464273,,23.3794992175274,,17.4224598930481,,,,,,,,,,,
