,年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
0,1900,0,0.028571429,0.038461538,0,0.038167939,0,0.214285714,0,0.037735849,0.045112782,0.164037855,0.411764706,0,0,0,0.361702128,0,0.272727273,0,0.40625,0,0,0,0.523809524,0.291666667,0.210526316,0,0,0
1,1904,0,0.083333333,0.054726368,0,0.09375,0,0,0,0,0.173913043,0.321428571,0,0.083333333,0,0,0.175438596,0,0.228571429,0,0.042857143,0,0,0,0,0,0,0.25,0,0
2,1908,0,0.013888889,0.033419023,0,0.026666667,0,0.453125,0,0.035714286,0.068965517,0.179166667,0.310810811,0.071428571,0,0.106382979,0.357142857,0,0,0,0.155844156,0,0,0,0.75,0,0,0,0,0
3,1912,0,0.012269939,0.03950104,0,0.029850746,0,0.220183486,0,0.111111111,0.147208122,0.321899736,0.453400504,0,0,0.093023256,0.213872832,0.21875,0,0,0,0,0,0,0,0,0,0,0,0
5,1920,0,0.042105263,0.084805654,0.166666667,0.057416268,0,0.336633663,0.075471698,0.148514851,0.138888889,0.437142857,0.385441527,0.025862069,0,0.1,0.31372549,0.260869565,0,0,0.197674419,0,0,0,0.529411765,0,0,0,0,0
6,1924,0,0.050179211,0.071784646,0.268292683,0.019011407,0,0.115942029,0.112149533,0.178217822,0.096938776,0.370283019,0.326771654,0.016574586,0,0.066666667,0.272727273,0.105263158,0,0,0,0,0,0,0.458333333,0,0,0,0,0
7,1928,0,0.054794521,0.052419355,0.153225806,0.010791367,0,0.21875,0.138297872,0.053571429,0.072874494,0.337209302,0,0.006944444,0,0.040540541,0,0.108108108,0,0,0,0,0,0,0,0,0,0,0,0
8,1932,0,0,0.051724138,0.0625,0.020512821,0,0.245614035,0.24137931,0.12195122,0.054216867,0.286458333,0.181818182,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0
9,1936,0,0.024875622,0.057596822,0.075144509,0.002747253,0,0.348837209,0.125,0.112676056,0.08908046,0.363309353,0.425925926,0,0,0,0,0.19047619,0,0,0,0,0,0,0.571428571,0,0,0,0,0
12,1948,0,0.055045872,0.124643197,0.223021583,0.012562814,0,0.370967742,0.191666667,0.205128205,0.122641509,0.427165354,0.361111111,0.034146341,0,0.107142857,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0
13,1952,0,0.112244898,0.125,0.12244898,0.014492754,0,0.36123348,0.267605634,0.183246073,0.064039409,0.410609037,0.380622837,0.020080321,0,0.082474227,0,0.191919192,0,0,0,0,0,0,0,0,0,0,0,0
14,1956,0,0.090909091,0.065153011,0.124260355,0.014044944,0,0.363636364,0.123809524,0.083333333,0.054263566,0.341726619,0.301369863,0.01242236,0,0.06097561,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0,0
15,1960,0,0.055319149,0.070884146,0.085526316,0.007936508,0,0.348275862,0.139534884,0.08,0.041763341,0.241264559,0.36503856,0.021352313,0,0.052083333,0,0.261261261,0,0,0,0,0,0,0,0,0,0,0,0
16,1964,0.083333333,0.037383178,0.075655431,0.062962963,0,0,0.368888889,0.167785235,0.094890511,0.058201058,0.272349272,0.461538462,0.022304833,0,0.019607843,0,0.157142857,0,0,0,0,0,0,0,0,0,0,0,0
17,1968,0,0.029304029,0.080297398,0.024,0,0,0.321428571,0.19375,0.055555556,0.067039106,0.253061224,0.482926829,0.016286645,0,0.027522936,0,0.172043011,0,0,0,0,0,0,0,0,0,0,0,0
18,1972,0.096385542,0.026022305,0.087188612,0.038461538,0.001583531,0,0.340557276,0.228723404,0.102272727,0.049773756,0.244488978,0.408898305,0.042372881,0,0.016129032,0,0.112068966,0,0,0.347368421,0,0,0,0,0,0,0,0,0
19,1976,0.032467532,0.044554455,0.058596762,0.096774194,0,0,0.284046693,0.161849711,0.061068702,0.048494983,0.142268041,0.382113821,0.018796992,0,0.00952381,0,0.157303371,0,0,0.28125,0,0,0,0,0,0,0,0,0
20,1980,0.067357513,0.03515625,0.060725552,0.079497908,0.002628121,0,0.307692308,0.104651163,0.106060606,0.053278689,0.143302181,0.299625468,0.011070111,0,0.011363636,0,0.113924051,0,0,0.328358209,0,0,0,0,0,0,0,0,0
21,1984,0.070754717,0.044715447,0.079450418,0.041841004,0,0,0.18,0.048387097,0.078431373,0.062365591,0.094339623,0.371057514,0.011299435,0,0,0,0.077669903,0,0,0.330275229,0,0,0,0,0,0,0,0,0
22,1988,0.090534979,0.062962963,0.085838991,0.083018868,0.000619579,0,0.221333333,0.057522124,0.083333333,0.084935897,0.140316206,0.302752294,0.018518519,0,0,0.02970297,0.131147541,0,0,0.256809339,0.087378641,0,0,0,0,0,0,0,0
23,1992,0.076212471,0,0.111976631,0.112359551,0.000619195,0.044247788,0.229024943,0.081967213,0.098684211,0.101361573,0.172489083,0.356382979,0.00297619,0,0.017857143,0.016,0.170940171,0,0,0.145748988,0.080645161,0.08125,0,0,0,0,0,0,0
