年份,Basketball,Judo,Football,Athletics,Ice Hockey,Swimming,Badminton,Sailing,Weightlifting,Water Polo,Rowing,Fencing,Shooting,Boxing,Taekwondo,Diving,Tennis,Modern Pentathlon,Golf,Softball,Archery,Table Tennis,Baseball,Triathlon,Polo,Cricket,Croquet,Roque,Basque Pelota
1900,0.0,0.0,9.45,30.42,0.0,5.24,0.0,19.6,0.0,8.48,2.66,22.19,8.84,0.0,0.0,0.0,3.76,0.0,0.0,0.0,1.28,0.0,0.0,0.0,3.36,0.0,0.0,0.0,0.0
1904,0.0,0.0,9.72,26.13,0.0,2.56,0.0,0.0,1.05,3.36,0.92,1.96,0.0,5.04,0.0,0.25,4.56,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,0.0,0.0,19.44,101.14,0.0,6.0,0.0,4.48,0.0,4.48,1.74,16.8,17.76,8.82,0.0,2.35,6.72,0.0,0.0,0.0,3.08,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0
1912,0.0,0.0,44.01000000000001,125.06,0.0,8.040000000000001,0.0,7.630000000000001,0.0,7.2,3.94,26.53,31.76,0.0,0.0,4.3,13.84,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0.0,0.0,51.3,110.37,9.6,8.36,0.0,7.07,7.949999999999999,16.16,2.88,24.5,33.52,24.36,0.0,3.5,12.24,1.38,0.0,0.0,3.44,0.0,0.0,0.0,2.72,0.0,0.0,0.0,0.0
1924,0.0,0.0,75.33,130.39,13.12,10.52,0.0,4.83,16.05,16.16,3.92,29.68,20.32,38.01,0.0,4.5,20.24,2.28,0.0,0.0,0.0,0.0,0.0,0.0,3.84,0.0,0.0,0.0,0.0
1928,0.0,0.0,59.13,128.96,19.84,11.12,0.0,8.96,14.1,17.92,4.94,30.1,0.0,30.24,0.0,3.7,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1932,0.0,0.0,0.0,67.86,7.68,7.8,0.0,3.99,4.35,6.56,3.32,13.44,1.76,17.85,0.0,1.8,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1936,21.89,0.0,54.27,130.91,27.68,14.56,0.0,12.04,12.0,22.72,6.96,38.92,6.48,37.59,0.0,4.4,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.0,0.0,0.0,0.0
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,31.57,0.0,58.86000000000001,136.63,22.24,15.92,0.0,13.02,18.0,24.96,6.36,35.56,8.64,43.05,0.0,4.2,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,32.34,0.0,79.38000000000001,174.72,23.52,19.32,0.0,15.89,21.3,30.56,8.120000000000001,35.63,11.56,52.29,0.0,4.850000000000001,0.0,5.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,18.59,0.0,38.61,131.69,27.04,14.24,0.0,10.78,15.75,15.36,5.16,19.46,8.76,33.81,0.0,4.100000000000001,0.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,21.12,0.0,63.45,170.56,24.32,25.2,0.0,20.3,25.8,24.0,8.620000000000001,42.07000000000001,15.56,59.01,0.0,4.800000000000001,0.0,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,20.79,8.64,57.78,173.55,43.2,29.44,0.0,15.75,22.35,21.92,7.56,33.67,12.48,56.48999999999999,0.0,5.100000000000001,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,21.01,0.0,73.71000000000001,174.85,40.0,49.24,0.0,17.64,24.0,25.92,7.16,34.3,16.4,64.47,0.0,5.45,0.0,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,20.9,19.92,72.63000000000001,219.18,33.28,50.52,0.0,22.61,28.2,28.16,8.84,34.93000000000001,18.88,74.34,0.0,6.2,0.0,6.96,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,23.43,18.48,54.54000000000001,168.61,34.72,43.04,0.0,17.99,25.95,20.96,11.96,33.95,14.76,55.86,0.0,5.25,0.0,5.34,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,23.65,23.16,69.12,164.84,38.24,30.44,0.0,10.92,25.8,21.12,9.76,22.47,10.68,56.91,0.0,4.4,0.0,4.74,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,23.43,25.44,66.42,217.62,38.24,49.28,0.0,21.0,27.9,24.48,9.3,29.68,21.56,74.34,0.0,5.050000000000001,0.0,6.18,0.0,0.0,4.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,25.96,29.16,72.9,268.06,42.4,64.56,0.0,26.25,33.9,24.96,12.48,35.42,21.8,90.72,0.0,5.4,16.16,7.319999999999999,0.0,0.0,10.28,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,25.96,51.96,73.44,267.02,42.72,64.6,20.34,30.87,36.6,24.32,13.22,32.06,22.56,70.56,0.0,5.600000000000001,20.0,7.02,0.0,0.0,9.88,12.4,17.6,0.0,0.0,0.0,0.0,0.0,0.0
1996,31.24,46.44,104.76,310.18,0.0,65.4,23.67,32.06,36.45,24.48,12.42,27.16,24.48,74.55,0.0,6.95,19.68,1.92,0.0,15.6,8.72,12.55,17.6,0.0,0.0,0.0,0.0,0.0,0.0
2000,31.46,47.76,105.57,320.84,0.0,69.64,20.25,28.14,36.9,36.96,11.22,24.43,23.96,64.47,30.6,11.9,19.84,2.88,0.0,15.6,8.24,13.4,21.12,12.0,0.0,0.0,0.0,0.0,0.0
2004,31.57,46.08,114.75,282.75,0.0,64.72,18.0,28.07,37.35,40.8,11.18,22.61,22.32,58.8,37.2,9.8,20.16,3.84,0.0,15.34,8.48,13.0,21.01,11.88,0.0,0.0,0.0,0.0,0.0
2008,31.57,46.32,126.63,291.72,0.0,69.96000000000001,16.56,28.0,37.95,40.96,11.26,23.24,23.08,59.43,37.8,9.1,20.32,4.32,0.0,15.6,7.76,12.5,21.01,13.2,0.0,0.0,0.0,0.0,0.0
2012,31.57,46.08,126.09,296.14,0.0,61.52,16.38,26.53,37.8,41.12,11.0,24.15,22.4,59.43,38.4,9.05,22.88,4.32,0.0,0.0,8.0,11.8,0.0,13.2,0.0,0.0,0.0,0.0,0.0
2016,30.91,46.68,127.71,326.04,0.0,62.72,15.93,26.6,38.25,41.28,11.0,24.22,22.2,59.43,37.8,8.9,22.88,4.32,0.0,0.0,8.0,11.8,0.0,13.2,0.0,0.0,0.0,0.0,0.0
